City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,Bredasdorp,-34.5322,20.0403,60.4,80,100,3.6,ZA,2022-03-31 01:22:13
123,Pochutla,15.7432,-96.4661,80.42,60,53,10.54,MX,2022-03-31 01:22:13
124,Nanortalik,60.1432,-45.2371,34.65,83,100,2.89,GL,2022-03-31 01:17:26
125,Pinawa,50.1489,-95.8811,28.17,84,100,8.79,CA,2022-03-31 01:22:14
126,Ovsyanka,55.9575,92.5519,36.57,81,77,15.05,RU,2022-03-31 01:22:14
127,Saldanha,-33.0117,17.9442,55.45,87,49,9.35,ZA,2022-03-31 01:22:14
128,Laurel,39.0993,-76.8483,55.15,60,100,8.05,US,2022-03-31 01:22:15
129,Kaura Namoda,12.5898,6.5779,76.03,6,35,8.37,NG,2022-03-31 01:22:15
130,Nioro,13.35,-15.75,81.95,26,100,5.73,GM,2022-03-31 01:22:16
131,Tasiilaq,65.6145,-37.6368,33.96,98,100,11.63,GL,2022-03-31 01:22:17
132,Guayabetal,4.2147,-73.8172,67.6,94,98,2.33,CO,2022-03-31 01:22:17
133,Vila Velha,-20.3297,-40.2925,80.55,89,0,6.91,BR,2022-03-31 01:21:37
134,Rondonopolis,-16.4708,-54.6356,73.69,90,100,2.66,BR,2022-03-31 01:18:56
135,Mocuba,-16.8392,36.9856,69.06,97,69,3.06,MZ,2022-03-31 01:22:18
136,Palu,-0.8917,119.8707,86.18,67,79,0.89,ID,2022-03-31 01:22:19
137,Kruisfontein,-34.0033,24.7314,58.89,80,100,3.51,ZA,2022-03-31 01:19:45
138,Sur,22.5667,59.5289,77.97,51,0,5.28,OM,2022-03-31 01:23:19
139,San Quintin,30.4833,-115.95,61.07,74,30,14.16,MX,2022-03-31 01:20:49
140,Umm Kaddadah,13.6017,26.6876,70.63,9,100,14.5,SD,2022-03-31 01:23:20
141,Katsuura,35.1333,140.3,63.72,79,13,20.31,JP,2022-03-31 01:23:21
142,Lastoursville,-0.8143,12.7287,75.42,81,69,1.99,GA,2022-03-31 01:23:21
143,Torbay,47.6666,-52.7314,33.58,86,75,24.16,CA,2022-03-31 01:23:22
144,Shimoda,34.6667,138.95,71.1,77,0,17.52,JP,2022-03-31 01:23:22
145,Lichuan,30.3,108.85,45.72,91,100,5.21,CN,2022-03-31 01:23:23
146,Ambanja,-13.6833,48.45,73.06,96,100,3.65,MG,2022-03-31 01:23:23
147,Lorengau,-2.0226,147.2712,85.39,74,100,14.05,PG,2022-03-31 01:23:23
148,Kiunga,-6.1219,141.2906,81.45,84,100,3.11,PG,2022-03-31 01:23:24
