City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,Soyo,AO,-6.1349,12.3689,77.97,89,77,9.13,broken clouds
134,Edd,ER,13.9297,41.6925,83.37,30,0,15.59,clear sky
135,Port Alfred,ZA,-34.5322,20.0403,59.61,82,100,3.22,overcast clouds
136,Lompoc,US,19.7297,-155.09,78.53,84,100,6.91,very heavy rain
137,Newport,US,19.7297,-155.09,78.53,84,100,6.91,very heavy rain
138,Lavrentiya,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
139,Chunoyar,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
140,Nongan,CN,25.4833,103.7833,58.05,78,90,10.87,overcast clouds
141,San Ramon,US,37.7799,-121.978,54.64,82,20,10.36,few clouds
142,Faanui,PF,-9.8,-139.0333,79.11,73,23,12.66,few clouds
143,Mount Isa,AU,-23.7,133.8833,78.35,36,37,10.36,scattered clouds
144,Cherskiy,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
145,Saskylakh,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
146,Tupik,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
147,Alofi,NU,-19.0595,-169.9187,84.09,79,40,8.05,scattered clouds
148,Grand Gaube,MU,-20.5167,57.5167,77.67,76,87,21.72,overcast clouds
149,Klaksvik,FO,62.2266,-6.589,31.12,66,98,18.05,light snow
150,Paamiut,GL,69.2167,-51.1,19.42,93,100,3.44,overcast clouds
151,Kalmar,SE,56.6616,16.3616,27.97,88,1,4.61,clear sky
152,Conde,BR,-9.6658,-35.7353,76.44,94,75,2.3,broken clouds
153,Alta Floresta,BR,-9.6658,-35.7353,76.44,94,75,2.3,broken clouds
154,Kulhudhuffushi,MV,6.6221,73.07,83.25,71,49,4.03,scattered clouds
155,Nikolayevka,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
156,Grand River South East,MU,-20.5167,57.5167,77.67,76,87,21.72,overcast clouds
157,Dikson,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
158,Topolobampo,CL,-35.3333,-72.4167,54.3,53,0,6.89,clear sky
159,Yulara,AU,-23.7,133.8833,78.35,36,37,10.36,scattered clouds
160,Ballina,AU,-28.8667,153.5667,78.01,77,99,23.33,overcast clouds
