City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
370,Banda Aceh,ID,84.38,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
371,Padang,ID,84.38,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
373,Victoria,US,78.53,very heavy rain,19.7297,-155.09,Hilo Hawaiian Hotel
374,Kavaratti,IN,91.51,clear sky,23.1167,83.2,Hotel Birendra Prabha
375,Gaya,NE,71.42,scattered clouds,13.8072,8.9881,Hotel de Ville
377,Jacqueville,CI,82.27,scattered clouds,5.5004,-3.6631,BENENE 1
378,Dhidhdhoo,MV,83.25,scattered clouds,6.6221,73.07,Haajy Guest House 1
379,Sinnamary,GF,78.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
382,Geraldton,AU,78.35,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
386,Atambua,ID,84.38,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
388,Roma,AU,78.35,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
389,Touros,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
390,Standish,US,78.53,very heavy rain,19.7297,-155.09,Hilo Hawaiian Hotel
395,Saint-Georges,GF,78.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
396,Coos Bay,US,78.53,very heavy rain,19.7297,-155.09,Hilo Hawaiian Hotel
397,Ahuimanu,US,78.53,very heavy rain,19.7297,-155.09,Hilo Hawaiian Hotel
399,Harper,LR,79.43,scattered clouds,4.375,-7.7169,Screensaver
401,Wajima,JP,75.13,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
404,Meulaboh,ID,84.38,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
405,Rio Grande,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
406,Jardim,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
409,Labuhan,ID,84.38,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
413,Arawa,PG,85.37,broken clouds,-9.0763,143.2092,Daru Lodge
416,Griffith,AU,78.35,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
417,Bambous Virieux,MU,77.67,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
420,Cotonou,BJ,82.85,overcast clouds,6.3654,2.4183,Novotel Cotonou Orisha
422,Eydhafushi,MV,83.25,scattered clouds,6.6221,73.07,Haajy Guest House 1
427,Naze,JP,75.13,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
428,Ulladulla,AU,78.35,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
430,Cidreira,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
432,Ishinomaki,JP,75.13,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
